name,no
Cès K./Cès A.,1031
Pedrosa/Rosas,1032
Benjamin/Luizão,1033
Hernandez Colina/Henriquez,1034
Amore/Bizzotto,1035
Scott/Lucena,1036
Barsuk/Kolodinskiy,1037
Boersma E./Ronnes,1038
Nausch/Schwab,1039
Gosch/Horst,1040
"Soderberg/Hoyer, A.",1041
Miramontes/Virgen,1042
Babich/Mykhaylov,1043
Klemperer/Koreng,1044
Reckermann/Urbatzka,1045
Brink/Dieckmann Ch.,1046
Herrera/Mesa,1047
Matysik/Uhmann,1048
Simek/J.Kruger,1049
Weaver/Grotowski,1050
Nishimura/Morikawa,1051
Asahi/Shiratori,1052
Richardson/Kapa,1053
Xu/Wu,1054
Huth/Schneider K.,1055
Koshkarev/Prokopiev,1056
Williams/Metzger,1057
De Gruijter/Ronnes,1058
Fuerbringer/Jennings,1059
Patriarca/Desiderio,1060
Mussa/Fañe,1061
Samoilovs/Plavins,1062
Hupfer/Schroffenegger P.,1063
"Bläuel/Huber, A.",1064
"Dollinger, S./Kaczmarek",1065
Fuchs/Backhaus,1066
Gibb/Rosenthal,1067
Van Huizen/Leinemann,1068
Lochhead/Pitman,1069
Wachter/Indra,1070
Gagliano/Dugrip,1071
Tichy/Benes P.,1072
Lario/Gavira,1073
Goldschmidt/Rorich,1074
Cavaliere/Galli F.,1075
Freidenfelds/Freidenfelds,1076
Nummerdor/Schuil,1077
Erdmann/Windscheif,1078
Noda/Fañe,1079
Ramos/Jhonlenn,1080
Bruno Schmidt/Maciel,1081
Li/Zhou,1082
Geor/Gia,1083
Kulinich/Dyachenko,1084
Pompe/Guenther,1085
Alison/Bernardo,1086
Kern/Lammens,1087
Böckermann/Götz,1088
Zaytsev/Tomatis,1089
Scott/Hyden,1162
Scott/Gibb,1163
Fuerbringer/Jennings,1179
Palinek/Krc,1212
Stejskal/Chromy,1213
Deulofeu/Salvetti,1214
Galli F./Raffaelli,1215
Kuchta/Bijecek,1216
Kubala/Biza,1217
Franken/Strijdom,1218
